timestamp	temperature [°C]	rainfall [mm]
2022-08-01T00:00:00.000+09:00	28.7	0
2022-08-01T01:00:00.000+09:00	28.3	0
2022-08-01T02:00:00.000+09:00	27.4	0
2022-08-01T03:00:00.000+09:00	27.5	0
2022-08-01T04:00:00.000+09:00	27.8	0
2022-08-01T05:00:00.000+09:00	27.3	0
2022-08-01T06:00:00.000+09:00	27.8	0.0
2022-08-01T07:00:00.000+09:00	27.9	0.0
2022-08-01T08:00:00.000+09:00	31.1	0
2022-08-01T09:00:00.000+09:00	32.0	0
2022-08-01T10:00:00.000+09:00	33.3	0
2022-08-01T11:00:00.000+09:00	34.2	0
2022-08-01T12:00:00.000+09:00	34.0	0
2022-08-01T13:00:00.000+09:00	34.7	0
2022-08-01T14:00:00.000+09:00	34.5	0
2022-08-01T15:00:00.000+09:00	33.7	0
2022-08-01T16:00:00.000+09:00	33.4	0
2022-08-01T17:00:00.000+09:00	32.4	0
2022-08-01T18:00:00.000+09:00	31.3	0
2022-08-01T19:00:00.000+09:00	30.1	0
2022-08-01T20:00:00.000+09:00	30.1	0
2022-08-01T21:00:00.000+09:00	29.1	0
2022-08-01T22:00:00.000+09:00	28.7	0
2022-08-01T23:00:00.000+09:00	28.6	0
2022-08-02T00:00:00.000+09:00	30.1	0
2022-08-02T01:00:00.000+09:00	28.8	0
2022-08-02T02:00:00.000+09:00	28.5	0
2022-08-02T03:00:00.000+09:00	28.1	0.0
2022-08-02T04:00:00.000+09:00	28.9	0.0
2022-08-02T05:00:00.000+09:00	28.3	0
2022-08-02T06:00:00.000+09:00	28.6	0
2022-08-02T07:00:00.000+09:00	29.5	0
2022-08-02T08:00:00.000+09:00	31.6	0
2022-08-02T09:00:00.000+09:00	33.0	0
2022-08-02T10:00:00.000+09:00	34.0	0
2022-08-02T11:00:00.000+09:00	34.1	0
2022-08-02T12:00:00.000+09:00	34.6	0
2022-08-02T13:00:00.000+09:00	34.6	0
2022-08-02T14:00:00.000+09:00	35.2	0
2022-08-02T15:00:00.000+09:00	35.2	0
2022-08-02T16:00:00.000+09:00	34.4	0
2022-08-02T17:00:00.000+09:00	34.3	0
2022-08-02T18:00:00.000+09:00	33.4	0
2022-08-02T19:00:00.000+09:00	32.1	0
2022-08-02T20:00:00.000+09:00	31.4	0
2022-08-02T21:00:00.000+09:00	31.0	0
2022-08-02T22:00:00.000+09:00	30.0	0
2022-08-02T23:00:00.000+09:00	29.5	0
2022-08-03T00:00:00.000+09:00	29.3	0
2022-08-03T01:00:00.000+09:00	29.1	0
2022-08-03T02:00:00.000+09:00	28.9	0
2022-08-03T03:00:00.000+09:00	28.3	0
2022-08-03T04:00:00.000+09:00	29.5	0
2022-08-03T05:00:00.000+09:00	29.1	0
2022-08-03T06:00:00.000+09:00	29.0	0
2022-08-03T07:00:00.000+09:00	30.4	0
2022-08-03T08:00:00.000+09:00	31.4	0
2022-08-03T09:00:00.000+09:00	32.8	0
2022-08-03T10:00:00.000+09:00	34.0	0
2022-08-03T11:00:00.000+09:00	35.5	0
2022-08-03T12:00:00.000+09:00	34.7	0
2022-08-03T13:00:00.000+09:00	35.4	0
2022-08-03T14:00:00.000+09:00	33.5	0
2022-08-03T15:00:00.000+09:00	32.2	0.0
2022-08-03T16:00:00.000+09:00	31.1	0.0
2022-08-03T17:00:00.000+09:00	32.5	0
2022-08-03T18:00:00.000+09:00	31.2	0
2022-08-03T19:00:00.000+09:00	31.4	0
2022-08-03T20:00:00.000+09:00	30.8	0
2022-08-03T21:00:00.000+09:00	31.9	0
2022-08-03T22:00:00.000+09:00	31.9	0
2022-08-03T23:00:00.000+09:00	31.0	0
2022-08-04T00:00:00.000+09:00	29.3	0
2022-08-04T01:00:00.000+09:00	29.0	0
2022-08-04T02:00:00.000+09:00	26.9	0
2022-08-04T03:00:00.000+09:00	25.8	0.0
2022-08-04T04:00:00.000+09:00	24.6	0.5
2022-08-04T05:00:00.000+09:00	24.7	0
2022-08-04T06:00:00.000+09:00	24.5	0.0
2022-08-04T07:00:00.000+09:00	24.6	0.0
2022-08-04T08:00:00.000+09:00	25.3	0.0
2022-08-04T09:00:00.000+09:00	25.3	0.0
2022-08-04T10:00:00.000+09:00	25.2	0
2022-08-04T11:00:00.000+09:00	24.5	0.5
2022-08-04T12:00:00.000+09:00	25.0	0.0
2022-08-04T13:00:00.000+09:00	25.2	0.0
2022-08-04T14:00:00.000+09:00	26.3	0.0
2022-08-04T15:00:00.000+09:00	25.5	0
2022-08-04T16:00:00.000+09:00	25.8	0.0
2022-08-04T17:00:00.000+09:00	24.4	0.0
2022-08-04T18:00:00.000+09:00	23.5	11.5
2022-08-04T19:00:00.000+09:00	22.7	4.0
2022-08-04T20:00:00.000+09:00	22.6	0.0
2022-08-04T21:00:00.000+09:00	22.5	0.5
2022-08-04T22:00:00.000+09:00	22.4	0.0
2022-08-04T23:00:00.000+09:00	22.5	0.0
2022-08-05T00:00:00.000+09:00	22.3	1.0
2022-08-05T01:00:00.000+09:00	22.4	0.0
2022-08-05T02:00:00.000+09:00	22.1	0.0
2022-08-05T03:00:00.000+09:00	22.1	0
2022-08-05T04:00:00.000+09:00	21.8	0.0
2022-08-05T05:00:00.000+09:00	21.9	0.0
2022-08-05T06:00:00.000+09:00	22.2	0
2022-08-05T07:00:00.000+09:00	22.9	0
2022-08-05T08:00:00.000+09:00	22.5	0.0
2022-08-05T09:00:00.000+09:00	23.7	0
